                                               filename   slit    nx    ny    nz   int  odcid     x1     x2     y1     y2                name
      EUV2002_005_12_12_52_UVIS_C29RA_ALPHACMA001_PRIME      2  1024    64    30    60    110      0   1023      0     63             alp cma
      EUV2002_005_12_42_43_UVIS_C29RA_ALPHACMA001_PRIME      2  1024     1   600     1     37      0   1023      0     63             alp cma
      EUV2002_005_12_53_06_UVIS_C29RA_ALPHACMA001_PRIME      1     1    64   302     1     38      0   1023      0     63             alp cma
      EUV2002_005_12_58_25_UVIS_C29RA_ALPHACMA001_PRIME      1  1024     1   302     1     39      0   1023      0     63             alp cma
      EUV2002_005_13_03_48_UVIS_C29RA_ALPHACMA001_PRIME      0     1    64   302     1     40      0   1023      0     63             alp cma
      EUV2002_005_13_09_07_UVIS_C29RA_ALPHACMA001_PRIME      0  1024     1   302     1     41      0   1023      0     63             alp cma
           EUV2002_155_18_00_45_UVIS_C32ST_DECON001_ISS      2     1    64   480     1     35      0   1023      0     63             alp vir
           EUV2002_155_18_10_03_UVIS_C32ST_DECON001_ISS      2  1024    64    24    60     36      0   1023      0     63             alp vir
           EUV2002_155_18_34_56_UVIS_C32ST_DECON001_ISS      2  1024    64    24    60    110      0   1023      0     63             alp vir
           EUV2002_155_18_58_47_UVIS_C32ST_DECON001_ISS      2  1024     1   480     1     37      0   1023      0     63             alp vir
           EUV2002_155_19_07_10_UVIS_C32ST_DECON001_ISS      1     1    64   242     1     38      0   1023      0     63             alp vir
           EUV2002_155_19_11_29_UVIS_C32ST_DECON001_ISS      1  1024     1   242     1     39      0   1023      0     63             alp vir
           EUV2002_155_19_15_52_UVIS_C32ST_DECON001_ISS      0     1    64   242     1     40      0   1023      0     63             alp vir
           EUV2002_155_19_20_11_UVIS_C32ST_DECON001_ISS      0  1024     1   243     1     41      0   1023      0     63             alp vir
     EUV2002_198_03_26_54_UVIS_C33ST_SPICARAST002_PRIME      2     2    64  3232     1    121      0   1023      0     63             alp vir
     EUV2002_198_04_32_26_UVIS_C33ST_SPICARAST002_PRIME      2  1024    64    10   332    120      0   1023      0     63             alp vir
     EUV2002_198_05_28_38_UVIS_C33ST_SPICARAST002_PRIME      2  1024    64    10   332    120      0   1023      0     63             alp vir
     EUV2002_198_06_24_49_UVIS_C33ST_SPICARAST002_PRIME      2  1024    64    10   332    120      0   1023      0     63             alp vir
     EUV2002_198_07_21_01_UVIS_C33ST_SPICARAST002_PRIME      2  1024    64    10   332    120      0   1023      0     63             alp vir
     EUV2002_198_08_17_13_UVIS_C33ST_SPICARAST002_PRIME      2  1024    64    10   332    120      0   1023      0     63             alp vir
     EUV2002_198_09_13_25_UVIS_C33ST_SPICARAST002_PRIME      2  1024    64    10   332    120      0   1023      0     63             alp vir
     EUV2002_198_10_09_38_UVIS_C33ST_SPICARAST002_PRIME      2  1024    64    10   332    120      0   1023      0     63             alp vir
     EUV2002_198_11_05_50_UVIS_C33ST_SPICARAST002_PRIME      2  1024    64    10   332    120      0   1023      0     63             alp vir
     EUV2002_198_12_02_01_UVIS_C33ST_SPICARAST002_PRIME      2  1024    64    10   332    120      0   1023      0     63             alp vir
     EUV2002_198_12_58_13_UVIS_C33ST_SPICARAST002_PRIME      2  1024    64     3   332    120      0   1023      0     63             alp vir
     EUV2002_198_13_14_49_UVIS_C33ST_SPICARAST002_PRIME      2  1024    64     7   332    120      0   1023      0     63             alp vir
     EUV2002_198_13_54_25_UVIS_C33ST_SPICARAST002_PRIME      2  1024    64    10   332    120      0   1023      0     63             alp vir
      EUV2002_282_14_39_21_UVIS_C34SA_WDWARF001_PRIME_T      1  1024    64    26  2400    123      0   1023      0     63                hz43
    EUV2002_291_14_24_50_UVIS_C34ST_BRIGHT19001_PRIME_T      2     1    64   262     1     35      0   1023      0     63             alp leo
    EUV2002_291_14_30_30_UVIS_C34ST_BRIGHT19001_PRIME_T      2  1024    64    30    60     36      0   1023      0     63             alp leo
    EUV2002_291_15_01_23_UVIS_C34ST_BRIGHT19001_PRIME_T      2  1024    64    30    60    110      0   1023      0     63             alp leo
    EUV2002_291_15_31_14_UVIS_C34ST_BRIGHT19001_PRIME_T      2  1024     1   600     1     37      0   1023      0     63             alp leo
    EUV2002_291_15_41_37_UVIS_C34ST_BRIGHT19001_PRIME_T      1     1    64   302     1     38      0   1023      0     63             alp leo
    EUV2002_291_15_46_56_UVIS_C34ST_BRIGHT19001_PRIME_T      1  1024     1   302     1     39      0   1023      0     63             alp leo
    EUV2002_291_15_52_19_UVIS_C34ST_BRIGHT19001_PRIME_T      0     1    64   302     1     40      0   1023      0     63             alp leo
    EUV2002_291_15_57_38_UVIS_C34ST_BRIGHT19001_PRIME_T      0  1024     1   302     1     41      0   1023      0     63             alp leo
  EUV2002_291_16_04_05_UVIS_C34ST_BRIGHT19001_PRIME_T_1      2  1024     1    14    60    125      0   1023     37     63             alp leo
  EUV2002_291_16_04_05_UVIS_C34ST_BRIGHT19001_PRIME_T_2      2  1024     1    14    60    125      0   1023      0     26             alp leo
  EUV2002_291_16_04_05_UVIS_C34ST_BRIGHT19001_PRIME_T_0      2  1024    10    14    60    125      0   1023     27     36             alp leo
    EUV2002_291_16_49_50_UVIS_C34ST_BRIGHT19001_PRIME_T      2     1    64   601     1     35      0   1023      0     63             eps ori
    EUV2002_291_17_01_08_UVIS_C34ST_BRIGHT19001_PRIME_T      2  1024    64    30    60     36      0   1023      0     63             eps ori
    EUV2002_291_17_32_00_UVIS_C34ST_BRIGHT19001_PRIME_T      2  1024    64    30    60    110      0   1023      0     63             eps ori
    EUV2002_291_18_01_51_UVIS_C34ST_BRIGHT19001_PRIME_T      2  1024     1   600     1     37      0   1023      0     63             eps ori
    EUV2002_291_18_12_14_UVIS_C34ST_BRIGHT19001_PRIME_T      1     1    64   302     1     38      0   1023      0     63             eps ori
    EUV2002_291_18_17_33_UVIS_C34ST_BRIGHT19001_PRIME_T      1  1024     1   302     1     39      0   1023      0     63             eps ori
    EUV2002_291_18_22_56_UVIS_C34ST_BRIGHT19001_PRIME_T      0     1    64   302     1     40      0   1023      0     63             eps ori
    EUV2002_291_18_28_15_UVIS_C34ST_BRIGHT19001_PRIME_T      0  1024     1   302     1     41      0   1023      0     63             eps ori
  EUV2002_291_18_34_42_UVIS_C34ST_BRIGHT19001_PRIME_T_0      2  1024    10    14    60    125      0   1023     27     36             eps ori
  EUV2002_291_18_34_42_UVIS_C34ST_BRIGHT19001_PRIME_T_1      2  1024     1    14    60    125      0   1023     37     63             eps ori
  EUV2002_291_18_34_42_UVIS_C34ST_BRIGHT19001_PRIME_T_2      2  1024     1    14    60    125      0   1023      0     26             eps ori
    EUV2002_291_19_17_31_UVIS_C34ST_BRIGHT19001_PRIME_T      2     1    64   601     1     35      0   1023      0     63             lam sco
    EUV2002_291_19_28_50_UVIS_C34ST_BRIGHT19001_PRIME_T      2  1024    64    30    60     36      0   1023      0     63             lam sco
    EUV2002_291_19_59_42_UVIS_C34ST_BRIGHT19001_PRIME_T      2  1024    64    30    60    110      0   1023      0     63             lam sco
    EUV2002_291_20_29_33_UVIS_C34ST_BRIGHT19001_PRIME_T      2  1024     1   600     1     37      0   1023      0     63             lam sco
    EUV2002_291_20_39_56_UVIS_C34ST_BRIGHT19001_PRIME_T      1     1    64   302     1     38      0   1023      0     63             lam sco
    EUV2002_291_20_45_15_UVIS_C34ST_BRIGHT19001_PRIME_T      1  1024     1   302     1     39      0   1023      0     63             lam sco
    EUV2002_291_20_50_38_UVIS_C34ST_BRIGHT19001_PRIME_T      0     1    64   302     1     40      0   1023      0     63             lam sco
    EUV2002_291_20_55_57_UVIS_C34ST_BRIGHT19001_PRIME_T      0  1024     1   302     1     41      0   1023      0     63             lam sco
  EUV2002_291_21_02_24_UVIS_C34ST_BRIGHT19001_PRIME_T_0      2  1024    10    14    60    125      0   1023     27     36             lam sco
  EUV2002_291_21_02_24_UVIS_C34ST_BRIGHT19001_PRIME_T_1      2  1024     1    14    60    125      0   1023     37     63             lam sco
  EUV2002_291_21_02_24_UVIS_C34ST_BRIGHT19001_PRIME_T_2      2  1024     1    14    60    125      0   1023      0     26             lam sco
    EUV2002_291_21_36_33_UVIS_C34ST_BRIGHT19001_PRIME_T      2     1    64   601     1     35      0   1023      0     63             eta uma
    EUV2002_291_21_47_52_UVIS_C34ST_BRIGHT19001_PRIME_T      2  1024    64    30    60     36      0   1023      0     63             eta uma
    EUV2002_291_22_18_44_UVIS_C34ST_BRIGHT19001_PRIME_T      2  1024    64    30    60    110      0   1023      0     63             eta uma
    EUV2002_291_22_48_35_UVIS_C34ST_BRIGHT19001_PRIME_T      2  1024     1   600     1     37      0   1023      0     63             eta uma
    EUV2002_291_22_58_58_UVIS_C34ST_BRIGHT19001_PRIME_T      1     1    64   302     1     38      0   1023      0     63             eta uma
    EUV2002_291_23_04_17_UVIS_C34ST_BRIGHT19001_PRIME_T      1  1024     1   302     1     39      0   1023      0     63             eta uma
    EUV2002_291_23_09_40_UVIS_C34ST_BRIGHT19001_PRIME_T      0     1    64   302     1     40      0   1023      0     63             eta uma
    EUV2002_291_23_14_59_UVIS_C34ST_BRIGHT19001_PRIME_T      0  1024     1   302     1     41      0   1023      0     63             eta uma
  EUV2002_291_23_21_26_UVIS_C34ST_BRIGHT19001_PRIME_T_0      2  1024    10    14    60    125      0   1023     27     36             eta uma
  EUV2002_291_23_21_26_UVIS_C34ST_BRIGHT19001_PRIME_T_2      2  1024     1    14    60    125      0   1023      0     26             eta uma
  EUV2002_291_23_21_26_UVIS_C34ST_BRIGHT19001_PRIME_T_1      2  1024     1    14    60    125      0   1023     37     63             eta uma
  EUV2002_291_23_39_37_UVIS_C34ST_BRIGHT19001_PRIME_T_0      2  1024    10    14    60    125      0   1023     27     36             eta uma
  EUV2002_291_23_39_37_UVIS_C34ST_BRIGHT19001_PRIME_T_2      2  1024     1    14    60    125      0   1023      0     26             eta uma
  EUV2002_291_23_39_37_UVIS_C34ST_BRIGHT19001_PRIME_T_1      2  1024     1    14    60    125      0   1023     37     63             eta uma
  EUV2002_292_00_41_39_UVIS_C34ST_BRIGHT19001_PRIME_T_2      2  1024     1    14    60    125      0   1023      0     26             eta uma
  EUV2002_292_00_41_39_UVIS_C34ST_BRIGHT19001_PRIME_T_1      2  1024     1    14    60    125      0   1023     37     63             eta uma
  EUV2002_292_00_41_39_UVIS_C34ST_BRIGHT19001_PRIME_T_0      2  1024    10    14    60    125      0   1023     27     36             eta uma
  EUV2002_292_01_43_42_UVIS_C34ST_BRIGHT19001_PRIME_T_1      2  1024     1    10    60    125      0   1023     37     63             eta uma
  EUV2002_292_01_43_42_UVIS_C34ST_BRIGHT19001_PRIME_T_2      2  1024     1    10    60    125      0   1023      0     26             eta uma
  EUV2002_292_01_43_42_UVIS_C34ST_BRIGHT19001_PRIME_T_0      2  1024    10    10    60    125      0   1023     27     36             eta uma
  EUV2002_292_01_56_42_UVIS_C34ST_BRIGHT19001_PRIME_T_2      2  1024     1     1    60    125      0   1023      0     26             eta uma
  EUV2002_292_01_56_42_UVIS_C34ST_BRIGHT19001_PRIME_T_0      2  1024    10     1    60    125      0   1023     27     36             eta uma
  EUV2002_292_01_56_42_UVIS_C34ST_BRIGHT19001_PRIME_T_1      2  1024     1     1    60    125      0   1023     37     63             eta uma
    EUV2003_021_10_55_00_UVIS_C35ST_BRIGHT19001_PRIME_T      2     1    64   600     1     35      0   1023      0     63             bet ori
    EUV2003_021_11_06_18_UVIS_C35ST_BRIGHT19001_PRIME_T      2  1024    64    30    60     36      0   1023      0     63             bet ori
    EUV2003_021_11_37_11_UVIS_C35ST_BRIGHT19001_PRIME_T      2  1024    64    30    60    110      0   1023      0     63             bet ori
    EUV2003_021_12_07_02_UVIS_C35ST_BRIGHT19001_PRIME_T      2  1024     1   254     1     37      0   1023      0     63             bet ori
    EUV2003_021_12_13_01_UVIS_C35ST_BRIGHT19001_PRIME_T      2  1024     1   241     1     37      0   1023      0     63             bet ori
    EUV2003_021_12_17_24_UVIS_C35ST_BRIGHT19001_PRIME_T      1     1    64   302     1     38      0   1023      0     63             bet ori
    EUV2003_021_12_22_43_UVIS_C35ST_BRIGHT19001_PRIME_T      1  1024     1   302     1     39      0   1023      0     63             bet ori
    EUV2003_021_12_28_06_UVIS_C35ST_BRIGHT19001_PRIME_T      0     1    64   302     1     40      0   1023      0     63             bet ori
    EUV2003_021_12_33_25_UVIS_C35ST_BRIGHT19001_PRIME_T      0  1024     1   302     1     41      0   1023      0     63             bet ori
    EUV2003_021_13_44_23_UVIS_C35ST_BRIGHT19001_PRIME_T      2     1    64   600     1     35      0   1023      0     63             gam ori
    EUV2003_021_13_55_41_UVIS_C35ST_BRIGHT19001_PRIME_T      2  1024    64    30    60     36      0   1023      0     63             gam ori
    EUV2003_021_14_26_34_UVIS_C35ST_BRIGHT19001_PRIME_T      2  1024    64    30    60    110      0   1023      0     63             gam ori
    EUV2003_021_14_56_25_UVIS_C35ST_BRIGHT19001_PRIME_T      2  1024     1   600     1     37      0   1023      0     63             gam ori
    EUV2003_021_15_06_47_UVIS_C35ST_BRIGHT19001_PRIME_T      1     1    64   302     1     38      0   1023      0     63             gam ori
    EUV2003_021_15_12_06_UVIS_C35ST_BRIGHT19001_PRIME_T      1  1024     1   302     1     39      0   1023      0     63             gam ori
    EUV2003_021_15_17_29_UVIS_C35ST_BRIGHT19001_PRIME_T      0     1    64   302     1     40      0   1023      0     63             gam ori
    EUV2003_021_15_22_48_UVIS_C35ST_BRIGHT19001_PRIME_T      0  1024     1   302     1     41      0   1023      0     63             gam ori
    EUV2003_021_16_32_59_UVIS_C35ST_BRIGHT19001_PRIME_T      2     1    64   600     1     35      0   1023      0     63             zet ori
    EUV2003_021_16_44_18_UVIS_C35ST_BRIGHT19001_PRIME_T      2  1024    64     3    60     36      0   1023      0     63             zet ori
    EUV2003_021_16_47_18_UVIS_C35ST_BRIGHT19001_PRIME_T      2  1024    64    27    60     36      0   1023      0     63             zet ori
